sample_id	replicate	batch	lane	fq1	fq2
MCF10CA1a	1	170306_NB501086_0102_HiC1_6_run4	L001	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_Cancer_1_r4/HiC_1_r4_S1_R1_001.fastq.gz	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_Cancer_1_r4/HiC_1_r4_S1_R2_001.fastq.gz
MCF10CA1a	2	170306_NB501086_0102_HiC1_6_run4	L001	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_Cancer_2_r4/HiC_5_r4_S5_R1_001.fastq.gz	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_Cancer_2_r4/HiC_5_r4_S5_R2_001.fastq.gz
MCF10AT1	1	170306_NB501086_0102_HiC1_6_run4	L001	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_T1_1_r4/HiC_3_r4_S3_R1_001.fastq.gz	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_T1_1_r4/HiC_3_r4_S3_R2_001.fastq.gz
MCF10AT1	2	170306_NB501086_0102_HiC1_6_run4	L001	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_T1_2_r4/HiC_4_r4_S4_R1_001.fastq.gz	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_T1_2_r4/HiC_4_r4_S4_R2_001.fastq.gz
MCF10A	1	170306_NB501086_0102_HiC1_6_run4	L001	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_WT_1_r4/HiC_2_r4_S2_R1_001.fastq.gz	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_WT_1_r4/HiC_2_r4_S2_R2_001.fastq.gz
MCF10A	2	170306_NB501086_0102_HiC1_6_run4	L001	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_WT_2_r4/HiC_6_r4_S6_R1_001.fastq.gz	raw/170306_NB501086_0102_HiC1_6_run4/HiC_MCF_WT_2_r4/HiC_6_r4_S6_R2_001.fastq.gz
MCF10AshZ	1	NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb	L001	raw/NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb/HiC_2/shZ-rep1_S1_R1_001.fastq.gz	raw/NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb/HiC_2/shZ-rep1_S1_R2_001.fastq.gz
MCF10AshZ	2	NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb	L001	raw/NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb/HiC_5/shZ-rep2_S2_R1_001.fastq.gz	raw/NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb/HiC_5/shZ-rep2_S2_R2_001.fastq.gz
MCF10ATGFb	1	NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb	L001	raw/NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb/HiC_6/TGFb-rep1_S3_R1_001.fastq.gz	raw/NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb/HiC_6/TGFb-rep1_S3_R2_001.fastq.gz
MCF10ATGFb	2	NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb	L001	raw/NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb/HiC_7/TGFb-rep2_S4_R1_001.fastq.gz	raw/NB501086_0064_DTremethick_JCSMR_HiC_shZ_TGFb/HiC_7/TGFb-rep2_S4_R2_001.fastq.gz
